task_id,baseline_success,verify_success,repair_success,baseline_reward,verify_reward,repair_reward,baseline_steps,verify_steps,repair_steps,baseline_actions,verify_actions,repair_actions,baseline_vs_verify_first_diff_step,baseline_vs_verify_first_diff_prompt_sha_equal,baseline_vs_repair_first_diff_step,result_change_baseline_to_repair,reward_delta_baseline_to_repair,first_rule_risk_step,first_llm_verified_error_step,first_repair_hint_step,pre_repair_attempt_count,post_hint_created_count,repair_hint_applied_count,repair_hint_followed_count,repair_hint_ignored_count,notes
10,True,True,True,0.6,0.6,0.6,3,3,3,search[machine wash men's pants relaxed fit grey 40w x 34l under 70 dollars] | click[b08lkksl8f] | click[buy now],search[machine wash men's pants relaxed fit grey 40w x 34l under 70 dollars] | click[b08lkksl8f] | click[buy now],search[machine wash men's pants relaxed fit grey 40w x 34l under 70 dollars] | click[b08lkksl8f] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
11,True,True,True,0.6,0.6,0.6,7,7,5,search[slim fit men's henleys short sleeve color 157- green size 3x-large price less than 30.00 dollars] | click[b09qqp3356] | click[b09qqp3356] | click[b09qqp3356] | click[b09qqp3356] | click[b09qqp3356] | click[buy now],search[slim fit men's henleys short sleeve color 157- green size 3x-large price less than 30.00 dollars] | click[b09qqp3356] | click[b09qqp3356] | click[b09qqp3356] | click[b09qqp3356] | click[b09qqp3356] | click[buy now],search[slim fit men's henleys short sleeve color 157- green size 3x-large price less than 30.00 dollars] | click[b09qqp3356] | click[b09qqp3356] | click[b09qqp3356] | click[buy now],,,4,success_to_success,0.0,3,3,3,0,1,1,1,0,
12,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,5,5,search[quick drying moisture wicking women's activewear long sleeve color:b-purple-thumbhole size:x-large price:less than 50.00] | click[next >] | click[next >] | click[b09q8rd8yn] | click[buy now],search[quick drying moisture wicking women's activewear long sleeve color:b-purple-thumbhole size:x-large price:less than 50.00] | click[next >] | click[next >] | click[b09q8rd8yn] | click[buy now],search[quick drying moisture wicking women's activewear long sleeve color:b-purple-thumbhole size:x-large price:less than 50.00] | click[next >] | click[next >] | click[b09q8rd8yn] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
13,False,False,False,0.0,0.0,0.0,15,15,15,"search[home office furniture sets for dining room, living room color blue gray item shape runner size 21 in x 35 in price lower than 80.00 dollars] | click[b09cq45zrb] | click[19.7x31.5in+19.7x47.2in] | click[description] | click[back to search] | search[home office furniture sets for dining room living room color blue gray item shape runner size 21 in x 35 in price lower than 80.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09gbf12cy] | click[back to search] | search[home office furniture sets for dining room living room color blue gray item shape runner size 21 in x 35 in price lower than 80.00 dollars] | click[b09cq45zrb] | click[19.7x31.5in+19.7x47.2in] | click[23.6x35.4in+23.6x70.9in]","search[home office furniture sets for dining room, living room color blue gray item shape runner size 21 in x 35 in price lower than 80.00 dollars] | click[b09cq45zrb] | click[19.7x31.5in+19.7x47.2in] | click[description] | click[back to search] | search[home office furniture sets for dining room living room color blue gray item shape runner size 21 in x 35 in price lower than 80.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09gbf12cy] | click[back to search] | search[home office furniture sets for dining room living room color blue gray item shape runner size 21 in x 35 in price lower than 80.00 dollars] | click[b09cq45zrb] | click[19.7x31.5in+19.7x47.2in] | click[23.6x35.4in+23.6x70.9in]","search[home office furniture sets for dining room, living room color blue gray item shape runner size 21 in x 35 in price lower than 80.00 dollars] | click[b09cq45zrb] | click[19.7x31.5in+19.7x47.2in] | click[description] | click[back to search] | search[home office furniture sets for dining room living room color blue gray item shape runner size 21 in x 35 in price lower than 80.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09gbf12cy] | click[back to search] | search[home office furniture sets for dining room living room color blue gray item shape runner size 21 in x 35 in price lower than 80.00 dollars] | click[b09cq45zrb] | click[19.7x31.5in+19.7x47.2in] | click[23.6x35.4in+23.6x70.9in]",,,,fail_to_fail,0.0,8,,,0,0,0,0,0,risk detected but verifier did not confirm
14,False,False,False,0.0,0.0,0.0,15,15,15,search[leak proof bpa free easy clean refillable containers with travel bottles 5 packs under 40 dollars] | click[b08j3wfrbt] | click[features] | click[back to search] | search[leak proof bpa free easy clean refillable containers with travel bottles 5 packs under 40 dollars] | click[next >] | click[b08x2pkkb2] | click[back to search] | search[leak proof bpa free easy clean refillable containers with travel bottles 5 packs under 40 dollars] | click[b08532hwvm] | click[description] | click[< prev] | click[b08x2pkkb2] | click[features] | click[< prev],search[leak proof bpa free easy clean refillable containers with travel bottles 5 packs under 40 dollars] | click[b08j3wfrbt] | click[features] | click[back to search] | search[leak proof bpa free easy clean refillable containers with travel bottles 5 packs under 40 dollars] | click[next >] | click[b08x2pkkb2] | click[back to search] | search[leak proof bpa free easy clean refillable containers with travel bottles 5 packs under 40 dollars] | click[b08532hwvm] | click[description] | click[< prev] | click[b08x2pkkb2] | click[features] | click[< prev],search[leak proof bpa free easy clean refillable containers with travel bottles 5 packs under 40 dollars] | click[b08j3wfrbt] | click[features] | click[back to search] | search[leak proof bpa free easy clean refillable containers with travel bottles 5 packs under 40 dollars] | click[next >] | click[b08x2pkkb2] | click[back to search] | search[leak proof bpa free easy clean refillable containers with travel bottles 5 packs under 40 dollars] | click[b08532hwvm] | click[description] | click[< prev] | click[b08x2pkkb2] | click[features] | click[< prev],,,,fail_to_fail,0.0,,,,0,0,0,0,0,risk not detected
15,False,False,True,0.0,0.0,0.2,15,15,6,search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color purple fit type men size large price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color purple fit type men size large price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color purple fit type men size large price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[b07f2g93bj] | click[buy now],,,4,fail_to_success,0.2,3,3,3,0,1,1,1,0,repair_success; first_rule_risk=3; first_verified_error=3; first_hint=3
16,True,True,True,1.0,1.0,1.0,9,9,9,search[slim fit straight leg men's pants elastic waist long sleeve relaxed fit everyday wear color green size xx-large price lower than 40.00 dollars] | click[next >] | click[b09q5zhrvm] | click[back to search] | search[slim fit straight leg men's pants elastic waist long sleeve relaxed fit everyday wear color green size xx-large price lower than 40.00 dollars] | click[b099231v35] | click[green] | click[xx-large] | click[buy now],search[slim fit straight leg men's pants elastic waist long sleeve relaxed fit everyday wear color green size xx-large price lower than 40.00 dollars] | click[next >] | click[b09q5zhrvm] | click[back to search] | search[slim fit straight leg men's pants elastic waist long sleeve relaxed fit everyday wear color green size xx-large price lower than 40.00 dollars] | click[b099231v35] | click[green] | click[xx-large] | click[buy now],search[slim fit straight leg men's pants elastic waist long sleeve relaxed fit everyday wear color green size xx-large price lower than 40.00 dollars] | click[next >] | click[b09q5zhrvm] | click[back to search] | search[slim fit straight leg men's pants elastic waist long sleeve relaxed fit everyday wear color green size xx-large price lower than 40.00 dollars] | click[b099231v35] | click[green] | click[xx-large] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
17,True,True,True,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,6,6,search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: heather grey size: large price lower than 70.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09km7x1g4] | click[buy now],search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: heather grey size: large price lower than 70.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09km7x1g4] | click[buy now],search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: heather grey size: large price lower than 70.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09km7x1g4] | click[buy now],,,,success_to_success,0.0,3,3,3,0,1,1,1,0,
18,False,False,False,0.0,0.0,0.0,15,15,15,search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color red fit type youth size xx-large price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color red fit type youth size xx-large price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color red fit type youth size xx-large price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[b07f2g93bj] | click[xx-large] | click[xx-large] | click[xx-large] | click[description] | click[back to search] | search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color red fit type youth size xx-large price lower than 50.00 dollars] | click[next >] | click[next >] | click[b09r9ycm6r] | click[xx-large],,,4,fail_to_fail,0.0,3,3,3,0,2,2,2,0,risk detected but hint ineffective; step budget exhausted
19,True,True,True,1.0,1.0,1.0,5,5,5,search[women's pumps closed toe rubber sole black size 7 under 80] | click[b092vdy5mf] | click[black] | click[7] | click[buy now],search[women's pumps closed toe rubber sole black size 7 under 80] | click[b092vdy5mf] | click[black] | click[7] | click[buy now],search[women's pumps closed toe rubber sole black size 7 under 80] | click[b092vdy5mf] | click[black] | click[7] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
20,True,True,True,0.42857142857142855,0.42857142857142855,0.42857142857142855,3,3,3,search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole color r.brown2070 size 7 price lower than 70.00 dollars] | click[b082mt9162] | click[buy now],search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole color r.brown2070 size 7 price lower than 70.00 dollars] | click[b082mt9162] | click[buy now],search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole color r.brown2070 size 7 price lower than 70.00 dollars] | click[b082mt9162] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
21,True,True,True,0.03333333333333333,0.03333333333333333,0.03333333333333333,10,10,10,search[non slip hand wash women's loafers slip-ons arch support color blue size 7 price less than 50 dollars] | click[b09s6vn97v] | click[description] | click[back to search] | search[non slip hand wash women's loafers slip-ons arch support color blue size 7 price less than 50 dollars] | click[next >] | click[b082mt9162] | click[7] | click[7] | click[buy now],search[non slip hand wash women's loafers slip-ons arch support color blue size 7 price less than 50 dollars] | click[b09s6vn97v] | click[description] | click[back to search] | search[non slip hand wash women's loafers slip-ons arch support color blue size 7 price less than 50 dollars] | click[next >] | click[b082mt9162] | click[7] | click[7] | click[buy now],search[non slip hand wash women's loafers slip-ons arch support color blue size 7 price less than 50 dollars] | click[b09s6vn97v] | click[description] | click[back to search] | search[non slip hand wash women's loafers slip-ons arch support color blue size 7 price less than 50 dollars] | click[next >] | click[b082mt9162] | click[7] | click[7] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
22,False,False,False,0.0,0.0,0.0,8,8,5,search[loose fit women's shorts elastic closure faux fur black x-large under 50] | click[b092t8cy89] | click[b092t8cy89] | click[b092t8cy89] | click[b092t8cy89] | click[b092t8cy89] | click[b092t8cy89] | click[buy now],search[loose fit women's shorts elastic closure faux fur black x-large under 50] | click[b092t8cy89] | click[b092t8cy89] | click[b092t8cy89] | click[b092t8cy89] | click[b092t8cy89] | click[b092t8cy89] | click[buy now],search[loose fit women's shorts elastic closure faux fur black x-large under 50] | click[b092t8cy89] | click[b092t8cy89] | click[b092t8cy89] | click[buy now],,,4,fail_to_fail,0.0,3,3,3,0,1,1,1,0,risk detected but hint ineffective
23,True,True,True,0.8888888888888888,0.8888888888888888,0.8888888888888888,14,14,14,search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls a2-gray large under 30.00 dollars] | click[next >] | click[next >] | click[b09q37jqz6] | click[back to search] | click[value] | click[value] | search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls a2-gray large under 30.00 dollars] | click[b09npml43m] | click[large] | click[value] | click[value] | click[value] | click[buy now],search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls a2-gray large under 30.00 dollars] | click[next >] | click[next >] | click[b09q37jqz6] | click[back to search] | click[value] | click[value] | search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls a2-gray large under 30.00 dollars] | click[b09npml43m] | click[large] | click[value] | click[value] | click[value] | click[buy now],search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls a2-gray large under 30.00 dollars] | click[next >] | click[next >] | click[b09q37jqz6] | click[back to search] | click[value] | click[value] | search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls a2-gray large under 30.00 dollars] | click[b09npml43m] | click[large] | click[value] | click[value] | click[value] | click[buy now],,,,success_to_success,0.0,12,12,12,0,1,1,1,0,
24,True,True,True,0.5,0.5,0.5,5,5,5,search[winter warm women's coats jackets vests long sleeve faux fur red large under 80 dollars] | click[next >] | click[b09lvmq1k6] | click[large] | click[buy now],search[winter warm women's coats jackets vests long sleeve faux fur red large under 80 dollars] | click[next >] | click[b09lvmq1k6] | click[large] | click[buy now],search[winter warm women's coats jackets vests long sleeve faux fur red large under 80 dollars] | click[next >] | click[b09lvmq1k6] | click[large] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
25,False,False,False,0.0,0.0,0.0,15,15,15,search[machine wash men's dress shirts cotton spandex classic fit short sleeve color: deep atlantic size: large price: less than 60.00] | click[next >] | click[next >] | click[next >] | click[b09rvf4jp1] | click[back to search] | click[value] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep atlantic large under 60] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep atlantic large under 60] | click[b07hrfsnl4] | click[deep atlantic] | click[large],search[machine wash men's dress shirts cotton spandex classic fit short sleeve color: deep atlantic size: large price: less than 60.00] | click[next >] | click[next >] | click[next >] | click[b09rvf4jp1] | click[back to search] | click[value] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep atlantic large under 60] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep atlantic large under 60] | click[b07hrfsnl4] | click[deep atlantic] | click[large],search[machine wash men's dress shirts cotton spandex classic fit short sleeve color: deep atlantic size: large price: less than 60.00] | click[next >] | click[next >] | click[next >] | click[b09rvf4jp1] | click[back to search] | click[value] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep atlantic large under 60] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep atlantic large under 60] | click[b07hrfsnl4] | click[deep atlantic] | click[large],,,,fail_to_fail,0.0,3,3,3,0,1,1,1,0,risk detected but hint ineffective; step budget exhausted
26,False,False,False,0.0,0.0,0.0,15,15,15,search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type youth size large price lower than 60.00 dollars] | click[b07hrfsnl4] | click[description] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type youth size large price lower than 60.00 dollars] | click[next >] | click[b09p7h5yk7] | click[large] | click[features] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type youth size large price lower than 60.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09qgk5xhz],search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type youth size large price lower than 60.00 dollars] | click[b07hrfsnl4] | click[description] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type youth size large price lower than 60.00 dollars] | click[next >] | click[b09p7h5yk7] | click[large] | click[features] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type youth size large price lower than 60.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09qgk5xhz],search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type youth size large price lower than 60.00 dollars] | click[b07hrfsnl4] | click[description] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type youth size large price lower than 60.00 dollars] | click[next >] | click[b09p7h5yk7] | click[large] | click[features] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type youth size large price lower than 60.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09qgk5xhz],,,,fail_to_fail,0.0,13,,,0,0,0,0,0,risk detected but verifier did not confirm
27,True,True,True,0.8,0.8,0.8,10,10,10,search[men's loafers slip-ons rubber outsole rubber sole color yellow-a size 11 price less than 60.00] | click[next >] | click[next >] | click[b001j6nxfs] | click[back to search] | search[men's loafers slip-ons rubber outsole rubber sole color yellow-a size 11 price less than 60.00] | click[b082mt9162] | click[11] | click[2005black] | click[buy now],search[men's loafers slip-ons rubber outsole rubber sole color yellow-a size 11 price less than 60.00] | click[next >] | click[next >] | click[b001j6nxfs] | click[back to search] | search[men's loafers slip-ons rubber outsole rubber sole color yellow-a size 11 price less than 60.00] | click[b082mt9162] | click[11] | click[2005black] | click[buy now],search[men's loafers slip-ons rubber outsole rubber sole color yellow-a size 11 price less than 60.00] | click[next >] | click[next >] | click[b001j6nxfs] | click[back to search] | search[men's loafers slip-ons rubber outsole rubber sole color yellow-a size 11 price less than 60.00] | click[b082mt9162] | click[11] | click[2005black] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
